date,days_since_application,plate_number,treatment,replicate,green_filament_(cyanobacteria),%cyano,green_patch_(probably_algae_but_lump_of_several_types_of_green),%green,fungi,%fungi,yellow_orange_goo_(diatoms),%diatom,branching_algae ,%algae,moss_(looks_like_little_plant),%moss,dead_diatom_mat,%deadDiatom,dead_cyano,%deadCyano,num_counts
1-Oct-18,19,25,prmx,3,30,22.55639098,9,6.766917293,11,8.270676692,58,43.60902256,0,0,0,0,10,7.518796992,0,0,133
4-Oct-18,22,1,ctrl,4,34,25.56390977,9,6.766917293,10,7.518796992,58,43.60902256,0,0,0,0,8,6.015037594,0,0,133
4-Oct-18,22,2,prmx,4,24,16.90140845,5,3.521126761,69,48.5915493,26,18.30985915,0,0,0,0,13,9.154929577,0,0,142
4-Oct-18,22,3,agri,5,4,3.773584906,2,1.886792453,26,24.52830189,4,3.773584906,0,0,0,0,10,9.433962264,0,0,106
4-Oct-18,22,4,gly,1,35,24.30555556,6,4.166666667,58,40.27777778,21,14.58333333,0,0,0,0,12,8.333333333,0,0,144
4-Oct-18,22,5,gly,4,41,28.27586207,20,13.79310345,15,10.34482759,54,37.24137931,2,1.379310345,0,0,4,2.75862069,0,0,145
4-Oct-18,22,6,gly,5,38,23.17073171,9,5.487804878,41,25,56,34.14634146,0,0,0,0,13,7.926829268,0,0,164
4-Oct-18,22,7,ctrl,5,50,31.84713376,12,7.643312102,27,17.19745223,50,31.84713376,0,0,0,0,7,4.458598726,0,0,157
4-Oct-18,22,8,gly,3,57,36.30573248,9,5.732484076,9,5.732484076,64,40.76433121,0,0,0,0,14,8.917197452,0,0,157
4-Oct-18,22,9,ctrl,3,45,28.48101266,15,9.493670886,18,11.39240506,65,41.13924051,0,0,0,0,9,5.696202532,0,0,158
4-Oct-18,22,10,agri,3,1,0.970873786,1,0.970873786,16,15.53398058,9,8.737864078,0,0,0,0,23,22.33009709,0,0,103
4-Oct-18,22,11,prmx,1,49,32.66666667,21,14,11,7.333333333,59,39.33333333,0,0,0,0,7,4.666666667,0,0,150
4-Oct-18,22,12,agri,4,9,8.737864078,2,1.941747573,13,12.62135922,22,21.3592233,0,0,0,0,12,11.65048544,2,1.941747573,103
4-Oct-18,22,13,ctrl,2,46,31.50684932,14,9.589041096,14,9.589041096,51,34.93150685,0,0,0,0,14,9.589041096,0,0,146
4-Oct-18,22,14,prmx,2,29,22.48062016,25,19.37984496,7,5.426356589,52,40.31007752,0,0,0,0,4,3.100775194,0,0,129
4-Oct-18,22,15,glax,3,1,0.934579439,2,1.869158879,45,42.05607477,3,2.803738318,0,0,0,0,14,13.08411215,1,0.934579439,107
4-Oct-18,22,16,glax,4,0,0,3,2.941176471,42,41.17647059,8,7.843137255,0,0,0,0,0,0,0,0,102
4-Oct-18,22,17,glax,5,2,1.785714286,2,1.785714286,54,48.21428571,5,4.464285714,0,0,0,0,7,6.25,0,0,112
4-Oct-18,22,18,glax,1,0,0,0,0,43,42.57425743,4,3.96039604,0,0,0,0,7,6.930693069,4,3.96039604,101
4-Oct-18,22,19,ctrl,1,38,27.53623188,11,7.971014493,12,8.695652174,49,35.50724638,0,0,0,0,12,8.695652174,0,0,138
4-Oct-18,22,20,prmx,5,35,25.17985612,10,7.194244604,19,13.66906475,55,39.56834532,0,0,0,0,7,5.035971223,0,0,139
4-Oct-18,22,21,agri,1,7,6.862745098,2,1.960784314,35,34.31372549,4,3.921568627,0,0,0,0,3,2.941176471,2,1.960784314,102
4-Oct-18,22,22,gly,2,35,27.77777778,8,6.349206349,17,13.49206349,37,29.36507937,0,0,0,0,5,3.968253968,0,0,126
4-Oct-18,22,23,glax,2,5,4.807692308,3,2.884615385,17,16.34615385,21,20.19230769,0,0,0,0,9,8.653846154,2,1.923076923,104
4-Oct-18,22,24,agri,2,2,1.834862385,3,2.752293578,38,34.86238532,5,4.587155963,0,0,0,0,10,9.174311927,0,0,109
4-Oct-18,22,25,prmx,3,19,15.32258065,17,13.70967742,6,4.838709677,50,40.32258065,0,0,0,0,5,4.032258065,0,0,124
